rotation_id,vehicle_type_id,assignment
94727,89,0
94727,90,0
94727,91,0
98488,82,0
98488,83,0
98488,84,1
98488,85,0
98488,86,0
98488,87,0
98488,88,0
98488,89,0
98488,90,0
98488,91,0
94049,82,0
94049,83,0
94049,84,1
94049,85,0
94049,86,0
94049,87,0
94049,88,0
94049,89,0
94049,90,0
94049,91,0
90661,82,0
90661,83,0
90661,84,1
90661,85,0
90661,86,0
90661,87,0
90661,88,0
90661,89,0
90661,90,0
90661,91,0
98245,82,0
98245,83,0
98245,84,1
98245,85,0
98245,86,0
98245,87,0
98245,88,0
98245,89,0
98245,90,0
98245,91,0
89393,82,0
89393,83,0
89393,84,1
89393,85,0
89393,86,0
89393,87,0
89393,88,0
89393,89,0
89393,90,0
89393,91,0
92730,82,0
92730,83,0
92730,84,1
92730,85,0
92730,86,0
92730,87,0
92730,88,0
92730,89,0
92730,90,0
92730,91,0
94248,82,0
94248,83,0
94248,84,1
94248,85,0
94248,86,0
94248,87,0
94248,88,0
94248,89,0
94248,90,0
94248,91,0
93180,82,0
93180,83,0
93180,84,1
93180,85,0
93180,86,0
93180,87,0
93180,88,0
93180,89,0
93180,90,0
93180,91,0
91016,82,0
91016,83,0
91016,84,1
91016,85,0
91016,86,0
91016,87,0
91016,88,0
91016,89,0
91016,90,0
91016,91,0
94156,82,0
94156,83,0
94156,84,1
94156,85,0
94156,86,0
94156,87,0
94156,88,0
94156,89,0
94156,90,0
94156,91,0
94857,82,0
94857,83,0
94857,84,1
94857,85,0
94857,86,0
94857,87,0
94857,88,0
94857,89,0
94857,90,0
94857,91,0
91079,82,0
91079,83,0
91079,84,1
91079,85,0
91079,86,0
91079,87,0
91079,88,0
91079,89,0
91079,90,0
91079,91,0
96063,82,0
96063,83,0
96063,84,1
96063,85,0
96063,86,0
96063,87,0
96063,88,0
96063,89,0
96063,90,0
96063,91,0
94563,82,0
94563,83,0
94563,84,1
94563,85,0
94563,86,0
94563,87,0
94563,88,0
94563,89,0
94563,90,0
94563,91,0
98523,82,0
98523,83,0
98523,84,1
98523,85,0
98523,86,0
98523,87,0
98523,88,0
98523,89,0
98523,90,0
98523,91,0
